[Thu Dec  4 09:09:44.957 2008] 0.018 sec [ext/2/rel 0 (0,15)] [*] alvaro @status NOT LIKE 'pendiente'
[Thu Dec  4 10:50:38.734 2008] 0.000 sec [ext/2/rel 0 (0,20)] [*] "*fabri*"/3
[Thu Dec  4 10:58:28.546 2008] 0.001 sec [ext/2/rel 2 (0,20)] [*] "*fabri*"/3
[Thu Dec  4 10:58:32.576 2008] 0.001 sec [ext/2/rel 2 (0,20)] [*] "*fabrizio*"/3
[Thu Dec  4 10:58:35.244 2008] 0.001 sec [ext/2/rel 2 (0,20)] [*] "*fab*"/3
[Thu Dec  4 10:58:39.363 2008] 0.001 sec [ext/2/rel 0 (0,20)] [*] "*al*"/3
[Thu Dec  4 10:58:42.627 2008] 0.001 sec [ext/2/rel 5 (0,20)] [*] "*alva*"/3
[Thu Dec  4 10:58:45.377 2008] 0.001 sec [ext/2/rel 5 (0,20)] [*] "*alv*"/3
[Thu Dec  4 10:58:50.261 2008] 0.001 sec [ext/2/rel 4 (0,20)] [*] "*ana*"/3
[Thu Dec  4 10:59:21.329 2008] 0.001 sec [ext/2/rel 4 (0,20)] [*] ana
[Thu Dec  4 10:59:25.665 2008] 0.000 sec [ext/2/rel 0 (0,20)] [*] alva
[Thu Dec  4 10:59:29.871 2008] 0.001 sec [ext/2/rel 5 (0,20)] [*] alvaro
[Thu Dec  4 10:59:34.101 2008] 0.000 sec [ext/2/rel 0 (0,20)] [*] alva
[Thu Dec  4 10:59:36.845 2008] 0.000 sec [ext/2/rel 0 (0,20)] [*] alvar
[Thu Dec  4 10:59:56.295 2008] 0.000 sec [all/2/rel 5 (0,20)] [*] *alvar*
[Thu Dec  4 11:00:01.640 2008] 0.000 sec [all/2/rel 2 (0,20)] [*] *fab*
[Thu Dec  4 11:00:04.395 2008] 0.000 sec [all/2/rel 2 (0,20)] [*] *fabr*
[Thu Dec  4 11:00:09.646 2008] 0.000 sec [all/2/rel 1 (0,20)] [*] *997*
[Thu Dec  4 11:00:13.450 2008] 0.000 sec [all/2/rel 0 (0,20)] [*] *cma*
[Thu Dec  4 11:00:16.171 2008] 0.001 sec [all/2/rel 1 (0,20)] [*] *cam*
[Thu Dec  4 11:00:20.977 2008] 0.000 sec [all/2/rel 0 (0,20)] [*] *zio*
[Thu Dec  4 11:00:23.627 2008] 0.000 sec [all/2/rel 0 (0,20)] [*] *brizio*
[Thu Dec  4 11:00:29.749 2008] 0.001 sec [all/2/rel 2 (0,20)] [*] *fabr*
[Thu Dec  4 11:01:09.456 2008] 0.001 sec [ext/2/rel 0 (0,20)] [*] *fabr* @status NOT LIKE 'pendiente'
[Thu Dec  4 11:01:12.513 2008] 0.001 sec [ext/2/rel 0 (0,20)] [*] *fabrizio* @status NOT LIKE 'pendiente'
[Thu Dec  4 11:03:04.533 2008] 0.000 sec [scan/2/rel 0 (0,20)] [client_core] 
[Thu Dec  4 11:03:05.431 2008] 0.000 sec [all/2/rel 2 (0,20)] [*] *gene*
[Thu Dec  4 11:03:08.412 2008] 0.000 sec [scan/2/rel 0 (0,20)] [client_core] 
[Thu Dec  4 11:03:09.302 2008] 0.000 sec [all/2/rel 1 (0,20)] [*] *ge*
[Thu Dec  4 11:03:11.266 2008] 0.000 sec [scan/2/rel 0 (0,20)] [client_core] 
[Thu Dec  4 11:03:12.239 2008] 0.001 sec [all/2/rel 3 (0,20)] [*] *gen*
[Thu Dec  4 11:03:18.394 2008] 0.000 sec [scan/2/rel 0 (0,20)] [client_core] 
[Thu Dec  4 11:03:20.012 2008] 0.000 sec [all/2/rel 0 (0,20)] [*] **
[Thu Dec  4 11:03:29.747 2008] 0.000 sec [scan/2/rel 0 (0,20)] [client_core] 
[Thu Dec  4 11:03:36.595 2008] 0.000 sec [scan/2/rel 0 (0,20)] [client_core] 
[Thu Dec  4 11:03:37.512 2008] 0.000 sec [all/2/rel 0 (0,20)] [*] * *
[Thu Dec  4 11:03:43.774 2008] 0.000 sec [scan/2/rel 0 (0,20)] [client_core] 
[Thu Dec  4 11:03:44.653 2008] 0.000 sec [all/2/rel 0 (0,20)] [*] *  *
[Thu Dec  4 11:03:52.390 2008] 0.000 sec [scan/2/rel 0 (0,20)] [client_core] 
[Thu Dec  4 11:03:53.028 2008] 0.000 sec [all/2/rel 0 (0,20)] [*] * *
[Thu Dec  4 11:04:25.637 2008] 0.000 sec [scan/2/rel 0 (0,20)] [client_core] 
[Thu Dec  4 11:04:26.547 2008] 0.000 sec [all/2/rel 0 (0,20)] [*] "*   *"
[Thu Dec  4 11:04:34.190 2008] 0.000 sec [scan/2/rel 0 (0,20)] [client_core] 
[Thu Dec  4 11:04:34.855 2008] 0.000 sec [all/2/rel 5 (0,20)] [*] "*   ana*"
[Thu Dec  4 11:07:13.003 2008] 0.000 sec [scan/2/rel 0 (0,20)] [client_core] 
[Thu Dec  4 11:07:13.609 2008] 0.000 sec [all/2/rel 0 (0,20)] [*] "*   *"
[Thu Dec  4 11:07:16.959 2008] 0.000 sec [scan/2/rel 0 (0,20)] [client_core] 
[Thu Dec  4 11:07:18.636 2008] 0.000 sec [all/2/rel 0 (0,20)] [*] "**"
[Thu Dec  4 11:08:32.862 2008] 0.001 sec [ext/2/rel 0 (0,15)] [*] *peluche* @status NOT LIKE 'pendiente'
[Thu Dec  4 11:09:21.488 2008] 0.001 sec [ext/2/rel 0 (0,15)] [*] "*k00220*" @status NOT LIKE 'pendiente'
[Thu Dec  4 11:09:26.647 2008] 0.001 sec [ext/2/rel 0 (0,15)] [*] "*K00220*" @status NOT LIKE 'pendiente'
[Thu Dec  4 11:09:34.077 2008] 0.001 sec [ext/2/rel 0 (0,15)] [*] "*K0220*" @status NOT LIKE 'pendiente'
[Thu Dec  4 11:09:38.575 2008] 0.001 sec [ext/2/rel 0 (0,15)] [*] "*K0*" @status NOT LIKE 'pendiente'
[Thu Dec  4 11:10:20.617 2008] 0.001 sec [all/2/rel 100 (0,20)] [*] "*K001*"
[Thu Dec  4 11:10:35.690 2008] 0.000 sec [all/2/rel 10 (0,20)] [*] "*K0011*"
[Thu Dec  4 11:10:44.400 2008] 0.000 sec [all/2/rel 1 (0,20)] [*] "*K00220*"
[Thu Dec  4 11:12:25.942 2008] 0.001 sec [ext/2/rel 0 (0,20)] [*] "*K0022*" @status like 'terminada' or status like 'terminado'
[Thu Dec  4 11:12:30.021 2008] 0.001 sec [ext/2/rel 0 (0,20)] [*] "*K00220*" @status like 'terminada' or status like 'terminado'
[Thu Dec  4 11:19:22.726 2008] 0.001 sec [ext/2/rel 2 (0,20)] [*] "*K002*" @status terminado
[Thu Dec  4 11:19:32.329 2008] 0.001 sec [ext/2/rel 78 (0,20)] [*] "*K001*" @status terminado
[Thu Dec  4 11:20:10.521 2008] 0.001 sec [ext/2/rel 10 (0,20)] [*] "*K0015*" @status terminado
[Thu Dec  4 11:32:38.108 2008] 0.001 sec [ext/2/rel 78 (0,20)] [*] "*K001*" @status terminado
[Thu Dec  4 11:33:29.193 2008] 0.001 sec [ext/2/rel 10 (0,20)] [*] "*K0015*" @status terminado
[Thu Dec  4 11:35:15.501 2008] 0.001 sec [ext/2/rel 10 (0,20)] [*] "*k0015*" @status terminado
[Thu Dec  4 11:36:17.591 2008] 0.001 sec [ext/2/rel 1 (0,20)] [*] "*k00150*" @status terminado
[Thu Dec  4 11:37:19.347 2008] 0.001 sec [ext/2/rel 10 (0,20)] [*] "*k0015*" @status terminado
[Thu Dec  4 11:40:12.043 2008] 0.001 sec [ext/2/rel 20 (0,20)] [*] "*peluche*" @status terminado
